Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"American National Standard Safety Levels With Respect to Human Exposure to Radio Frequency Electromagnetic Fields, 300 kHz to 100 Ghz",,,ANSI Std C95.1-1982,20021210,1982,,,0_1,,Recommendations are made to prevent possible harmful effects in human beings exposed to electromagnetic fields in the frequency range from 300 kHz to 100 GHz. These recommendations are intended to apply to non-occupational as well as to occupational exposures. These recommendations are not intended to apply to the purposeful exposure of patients by or under the direction of practitioners of the healing arts.<<ETX>>,,,10.1109/IEEESTD.1982.81021,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=27810,,Occupational health and safety;Safety;Standards,health hazards;radiation protection;safety;standards,300 kHz to 100 GHz;American National Standard safety levels;RF EM fields;harmful effects;human exposure;nonoccupational exposures;occupational exposures,,6,,41,,,,1982,,IEEE,IEEE Standards
"American National Standard Service Conditions and Definitions for High-Voltage Fuses, Distribution Enclosed Single-Pole Air Switches, Fuse Disconnecting Switches, and Accessories",,,ANSI/IEEE Std C37.40-1981,20021210,1981,,,1,26,"Service conditions and definitions for high-voltage fuses (above 1,000 V), distribution enclosed single-pole air switches, fuse disconnecting switches, and accessories for ac distribution systems are covered. These include enclosed, open, and open-link types of distribution cutouts and fuses; distribution current-limiting fuses; distribution oil cutouts; distribution enclosed single-pole air switches; power fuses, including current-limiting types; outdoor and indoor fuse disconnecting switches; fuse supports, mountings, hooks, and links, all of the type used exclusively with the above; and removable switch blades for certain products among the above.",,,10.1109/IEEESTD.1981.82372,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=30640,C37.40,Fuses;Standards;Switchgear,distribution networks;electric fuses;standards;switchgear,AC distribution systems;distribution current limiting fuses;distribution enclosed single-pole air switches;distribution oil cutouts;fuse disconnecting switches;fuse hooks;fuse links;fuse mountings;fuse supports;fuse tongs;high-voltage fuses;power fuses;removable switch blades;standard,,0,,3,,,,Dec. 9 1981,,IEEE,IEEE Standards
"American National Standard Specification for High-Voltage Expulsion Type Distribution Class Fuses, Cutouts, Fuse Disconnecting Switches and Fuse Links",,,ANSI C37.42-1996,20050207,1996,,,i,25,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01389205.png"" border=""0"">",,,10.1109/IEEESTD.1996.95628,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1389205,,,,,,0,,,,,,1996,,IEEE,IEEE Standards
"American National Standard Specifications Distribution Fuse Disconnecting Switches, Fuse Supports, and Current-Limiting Fuses",,,ANSI C37.47-1981 (R1992) (Revision of ANSI C37.47-19969),20050207,1981,,,1,14,"This standard is a revision of American National Standard Specifications for Distribution Fuse Disconnecting Switches, Fuse Supports, and Current Limiting Fuses, ANSI C37.47-1969, to bring it up to date and in line with present requirements for high-voltage fuses and switches.",,Electronic:978-0-7381-3614-1,10.1109/IEEESTD.1981.95630,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1389207,,,,,,0,,4,,,,Jan. 1 1981,,IEEE,IEEE Standards
"American National Standard Specifications for Electromagnetic Noise and Field Strength Instrumentation, 10 kHz to 1 GHz",,,ANSI C63.2-1980,20160415,1980,,,1,24,"The increasing significance of electromagnetic compatibility considerations in the design and application of electrical and electronic equipment is directly related to the expanding sophistication of the functions performed by such equipment in industrial, civilian, and military activities. In order to enable the designer and user to be assured that equipment of concern to them will function in the intended application, it is necessary to control the electromagnetic environment adequately. The environment will vary from one application to another, as will the performance requirements. For this reason a variety of electromagnetic compatibility techniques and instruments are necessary. This specification describes requirements for instruments measuring quasi-peak, peak, rms and average values. To determine which of these need be included in any one instrument will depend upon the application.",,,10.1109/IEEESTD.1980.7453095,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7453095,,ANSI Standards;Antenna measurements;Current measurement;Detectors;Electromagnetic compatibility;Frequency modulation;Instruments;Noise measurement;Voltage measurment,,,,,,,,,,June 11 1980,,IEEE,IEEE Standards
"American National Standard Test Code for Distribution, Power, and Regulating Transformers",,,IEEE Std 262-1973 /ANSI C57.12.90-1973 (Supersedes ANSI C57.12.90-1968),20160120,1973,,,1,47,"This standard prescribes methods for performing tests specified in American National Standard General Requirements for Distribution, Power, and Regulating Transformers, C57.12.00-1973 (IEEE Std 462-1973) and in the separate transformer standards of the C57.12 Series of American National Standards.",,,10.1109/IEEESTD.1973.7387653,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7387653,,ANSI Standards;Encoding;IEEE Standards;Power distribution;Power transformers;Transformers,IEEE standards;power transformers,American National Standard C57.12 Series;American National Standard Test Code;C57.12.00-1973;IEEE Standard Test Code;IEEE Std 462-1973;distribution transformer;power transformer;regulating transformer,,,,,,,,Dec. 11 1973,,IEEE,IEEE Standards
"American National Standard for Electromagnetic Noise and Field Strength Instrumentation, 10 Hz to 40 GHz Specifications",,,ANSI C63.2-2009 (Revision of ANSI C63.2-1996),20091218,2009,,,1,22,"Electromagnetic compatibility techniques and requirements for instruments measuring quasi-peak, peak, rms, and average values for electrical and electronic equipment for various applications are provided.",,Electronic:978-0-7381-6112-9,10.1109/IEEESTD.2009.5356105,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5356105,C63.2-2009;electromagnetic compatibility;field strength instrumentation,Consumer electronics;Data mining;Electromagnetic compatibility;Instruments;Permission;Standards;USA Councils,ANSI standards;electric variables measurement;electromagnetic compatibility;electromagnetic fields;electromagnetic interference,ANSI C63.2-1996 Revision;ANSI C63.2-2009;American National Standard;electrical equipment;electromagnetic compatibility techniques;electromagnetic field strength;electromagnetic noise;electronic equipment;frequency 10 Hz to 40 GHz,,0,,1,,,,Dec. 15 2009,,IEEE,IEEE Standards
"American National Standard for High Voltage Switches, Bus Supports, and Accessories Schedules of Preferred Ratings, Construction Guidelines, and Specifications",,,IEEE Std C37.32-2002,20150602,2003,,,1,42,"This standard provides the schedules of preferred ratings and construction specifications for high-voltage disconnect, interrupter, fault initiating, and grounding switches rated above 1000 volts. Switch operator control voltage ranges (formerly C37.33), bus supports and accessories are also covered by this standard. Switches included in C37.20.2, C37.20.3, C37.20.4, C37.71, C37.72 and C37.73 are not covered by this standard. (Superseded by C37.30.1-2011)",,,10.1109/IEEESTD.2003.7116714,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7116714,Fault initiating switches;Grounding air switches;IEEE C37.32;Indoor air switches;Station class;Switch accessories;interrupter switches;outdoor air disconnect switches;switch hooks,ANSI standards;Grounding air switches;High voltage techniques;Interrupters;Switching systems;Voltage control,,,,0,,,,,,June 2 2003,,IEEE,IEEE Standards
"American National Standard for Instrumentation - Electromagnetic Noise and Field Strength, 10 kHz to 40 GHz - Specifications",,,ANSI Std C63.2-1987,20020806,1988,,,0_1,,"The increasing significance of electromagnetic compatibility considerations in the design and application of electrical and electronic equipment is directly related to the expanding sophistication of the functions performed by such equipment in industrial, civilian, and military activities. In order to enable the designer and user to be assured that equipment of concern to them will function in the intended application, it is necessary to control the electromagnetic environment adequately. The environment will vary from one application to another, as will the performance requirements. For this reason a variety of electromagnetic compatibility techniques and instruments are necessary. This specification describes requirements for instruments measuring quasi-peak, peak. RMS and average values. Which of these will need to be included in any one instrument will depend upon the application. The basic instrument is a frequency-selective voltmeter. With appropriate coupling devices, such as antennas and current probes, the instrumentation will also measure other physical quantities such as field strength and current.<<ETX>>",,,10.1109/IEEESTD.1988.79635,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=26553,,Current measurement;Electromagnetic compatibility;Standardization;Standards;Voltage measurement;Voltmeters,electric current measurement;electromagnetic compatibility;field strength measurement;standardisation;standards;voltage measurement;voltmeters,10 kHz to 40 GHz;RMS values;antennas;average values;civilian activities;coupling devices;current;current probes;electrical equipment;electromagnetic compatibility;electromagnetic noise;electronic equipment;field strength;frequency-selective voltmeter;industrial activities;military activities;peak values;quasi-peak values,,1,,11,,,,1988,,IEEE,IEEE Standards
"American National Standard for Instrumentation - Electromagnetic Noise and Field Strength, 10kHz to 40 GHz - Specifications",,,ANSI Std C63.2-1996,20150202,1988,,,1,24,"Electromagnetic compatibility techniques and requirements for instruments measuring quasipeak, peak, rms, and average values for electrical and electronic equipment for various applications are provided.",,,10.1109/IEEESTD.1988.7029264,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7029264,Electromagnetic interference;Electromagnetic measurements;Voltage measurements,ANSI Standards;Electromagnetic interference;Electromagnetic measurements;Noise measurement;Voltage measurement,detector circuits;electromagnetic compatibility;electromagnetic interference;field strength measurement;sensors,ANSI C63.2-1980;ANSI C63.2-1987;electrical equipment;electromagnetic compatibility techniques;electromagnetic noise;electronic equipment;field strength;frequency 10 kHz to 40 GHz,,0,,,,,,Feb. 29 1988,,IEEE,IEEE Standards
"American National Standard for Limits and Methods of Measurement of Radio Disturbance Characteristics of Industrial, Scientific, and Medical (ISM) Radio-Frequency Equipment",,,ANSI C63.011-2000,20020806,2000,,,i,81,"This standard republishes CISPR 11:1997 (with Amendment 1, 1999-05) as an American National Standard to make it easily available to U.S. manufacturers.",,,10.1109/IEEESTD.2000.92026,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=888009,,ANSI Standards;Interference;Noise measurement;Radio communication,,lectromagnetic Compatibility (EMC),,0,,6,,,,2000,,IEEE,IEEE Standards
